iter	Passed	Remaining
419	2785	3846
420	2790	3838
421	2796	3830
422	2801	3821
423	2808	3815
424	2813	3806
425	2818	3797
426	2825	3791
427	2830	3783
428	2838	3777
429	2848	3775
430	2857	3773
431	2865	3767
432	2878	3768
433	2886	3763
434	2898	3765
435	2909	3763
436	2920	3762
437	2929	3759
438	2944	3762
439	2951	3755
440	2960	3752
441	2969	3748
442	2975	3741
443	2989	3743
444	2998	3739
445	3007	3735
446	3016	3731
447	3025	3727
448	3031	3720
449	3040	3715
450	3045	3707
451	3052	3701
452	3058	3692
453	3063	3683
454	3069	3676
455	3074	3667
456	3079	3658
457	3085	3651
458	3091	3643
459	3096	3634
460	3104	3629
461	3109	3620
462	3115	3613
463	3121	3605
464	3125	3596
465	3132	3589
466	3137	3581
467	3142	3572
468	3149	3565
469	3154	3557
470	3159	3548
471	3166	3542
472	3171	3533
473	3177	3526
474	3184	3519
475	3191	3513
476	3199	3507
477	3203	3498
478	3208	3490
479	3214	3482
480	3219	3474
481	3224	3465
482	3231	3458
483	3236	3450
484	3241	3441
485	3247	3434
486	3252	3426
487	3258	3418
488	3264	3411
489	3269	3403
490	3276	3396
491	3282	3388
492	3287	3380
493	3294	3374
494	3299	3366
495	3304	3357
496	3311	3351
497	3316	3343
498	3321	3334
499	3327	3327
500	3332	3319
501	3337	3311
502	3343	3303
503	3348	3295
504	3353	3287
505	3360	3280
506	3365	3272
507	3370	3264
508	3376	3257
509	3381	3249
510	3386	3240
511	3409	3250
512	3418	3245
513	3426	3239
514	3431	3231
515	3438	3225
516	3443	3217
517	3448	3208
518	3457	3204
519	3462	3196
520	3467	3187
521	3474	3181
522	3479	3173
523	3484	3165
524	3491	3158
525	3496	3151
526	3504	3145
527	3510	3138
528	3516	3130
529	3521	3123
530	3526	3114
531	3531	3106
532	3538	3100
533	3542	3091
534	3548	3084
535	3553	3076
536	3558	3068
537	3563	3060
538	3570	3053
539	3575	3045
540	3580	3037
541	3586	3030
542	3591	3022
543	3596	3014
544	3603	3008
545	3608	3000
546	3613	2992
547	3618	2985
548	3624	2977
549	3628	2969
550	3635	2962
551	3640	2954
552	3646	2947
553	3653	2941
554	3658	2933
555	3666	2927
556	3671	2920
557	3677	2912
558	3683	2906
559	3688	2898
560	3693	2890
561	3700	2883
562	3705	2876
563	3710	2868
564	3716	2861
565	3721	2853
566	3726	2845
567	3749	2851
568	3756	2845
569	3764	2839
570	3769	2832
571	3775	2824
572	3780	2817
573	3785	2809
574	3791	2802
575	3797	2795
576	3802	2787
577	3807	2779
578	3813	2772
579	3818	2765
580	3823	2757
581	3835	2755
582	3841	2747
583	3847	2740
584	3852	2732
585	3859	2726
586	3864	2719
587	3869	2711
588	3876	2705
589	3882	2697
590	3886	2689
591	3894	2683
592	3899	2676
593	3904	2668
594	3911	2662
595	3916	2654
596	3922	2648
597	3928	2640
598	3933	2633
599	3939	2626
600	3944	2618
601	3949	2611
602	3956	2605
603	3962	2597
604	3966	2589
605	3973	2583
606	3978	2575
607	3983	2568
608	3990	2562
609	3995	2554
610	4000	2547
611	4007	2540
612	4012	2533
613	4017	2525
614	4022	2518
615	4028	2510
616	4033	2503
617	4040	2497
618	4045	2490
619	4052	2484
620	4058	2476
621	4063	2469
622	4070	2463
623	4075	2455
624	4080	2448
625	4087	2441
626	4091	2434
