iter	Logloss
0	0.67851586
1	0.6637581459
2	0.6503728647
3	0.6372598569
4	0.6252553077
5	0.6140285981
6	0.6032532037
7	0.5936661294
8	0.5838134384
9	0.5747152742
10	0.5656902375
11	0.5575167097
12	0.5501679339
13	0.5426144744
14	0.5360650505
15	0.5299755196
16	0.5240983446
17	0.5185672252
18	0.5134623394
19	0.5082446393
20	0.5041040722
21	0.4995824854
22	0.4952513556
23	0.491108516
24	0.486941989
25	0.4840617692
26	0.4800985685
27	0.476853063
28	0.4740029159
29	0.4708998568
30	0.4681775389
31	0.4656338702
32	0.4630048039
33	0.4604979788
34	0.4585151859
35	0.4562631614
36	0.4540055958
37	0.451584228
38	0.4494746517
39	0.447964326
40	0.4461176323
41	0.4442121207
42	0.4425409512
43	0.4409838275
44	0.4394786279
45	0.4383813033
46	0.4368769313
47	0.4355218824
48	0.434201321
49	0.4329324224
50	0.4314643266
51	0.4303077927
52	0.4291427757
53	0.427830593
54	0.4267457216
55	0.425737249
56	0.4245399329
57	0.4234385182
58	0.4224774076
59	0.4214059552
60	0.4204252903
61	0.4196261022
62	0.4187409188
63	0.4177910647
64	0.4169843177
65	0.4162786024
66	0.4155077696
67	0.4149731877
68	0.4142919158
69	0.4138005422
70	0.4130170062
71	0.4123973473
72	0.4118362724
73	0.4111200268
74	0.4105356561
75	0.4100226478
76	0.4095483782
77	0.4089618221
78	0.4083131689
79	0.4077949638
80	0.4072611794
81	0.4067512516
82	0.4063007584
83	0.4058766072
84	0.4053582372
85	0.4050233454
86	0.404508969
87	0.4041197168
88	0.4036635085
89	0.4031996458
90	0.4027171442
91	0.4022623047
92	0.4017455957
93	0.4013850234
94	0.4009881072
95	0.4007044958
96	0.4003522378
97	0.4000010907
98	0.399740696
99	0.3994287889
100	0.3991288402
101	0.3988206263
102	0.3984132435
103	0.3980488735
104	0.3977399806
105	0.39736894
106	0.3970834587
107	0.3967694635
108	0.396453972
109	0.3960389303
110	0.395661019
111	0.3954329616
112	0.3952459718
113	0.3948282494
114	0.3946330718
